,index,date,open,high,low,close,volume,Name,Average
122,307397,2015-06-26,124.35,124.83,123.97,124.72,636637,ROK,124.4
123,307398,2015-06-29,123.6,124.79,122.81,122.91,1084374,ROK,123.80000000000001
124,307399,2015-06-30,124.0,125.95,123.81,124.64,1212064,ROK,124.88
125,307400,2015-07-01,125.99,126.77,125.4,126.27,1050574,ROK,126.08500000000001
126,307401,2015-07-02,126.35,126.71,125.9,126.13,573411,ROK,126.305
127,307402,2015-07-06,124.9,125.97,123.82,125.42,1010609,ROK,124.895
128,307403,2015-07-07,125.24,125.99,123.18,125.2,1233651,ROK,124.58500000000001
129,307404,2015-07-08,124.07,124.24,119.97,120.72,1173145,ROK,122.10499999999999
130,307405,2015-07-09,122.36,123.05,121.19,121.49,820105,ROK,122.12
131,307406,2015-07-10,122.67,122.91,121.32,122.17,643127,ROK,122.115
132,307407,2015-07-13,123.17,124.92,122.94,124.4,739123,ROK,123.93
133,307408,2015-07-14,124.38,125.39,123.75,125.0,553414,ROK,124.57
134,307409,2015-07-15,124.77,125.604,122.705,122.89,849678,ROK,124.1545
135,307410,2015-07-16,124.06,124.7997,122.97,123.5,586291,ROK,123.88485
136,307411,2015-07-17,123.41,124.07,122.77,123.74,666900,ROK,123.41999999999999
137,307412,2015-07-20,123.56,123.8898,122.56,123.38,607406,ROK,123.22489999999999
138,307413,2015-07-21,123.14,123.32,120.14,120.81,1024363,ROK,121.72999999999999
139,307414,2015-07-22,120.51,121.33,120.16,120.3,875181,ROK,120.745
140,307415,2015-07-23,120.09,120.568,117.83,117.9,1131241,ROK,119.199
141,307416,2015-07-24,117.9,118.22,117.11,117.52,1151761,ROK,117.66499999999999
142,307417,2015-07-27,116.6,116.75,115.17,116.32,1053880,ROK,115.96000000000001
143,307418,2015-07-28,117.51,119.4,116.49,119.23,1430184,ROK,117.945
144,307419,2015-07-29,117.57,117.57,115.0,116.36,1858522,ROK,116.285
145,307420,2015-07-30,115.39,118.11,114.65,117.1,1244577,ROK,116.38
146,307421,2015-07-31,117.94,118.455,116.56,116.78,702948,ROK,117.5075
147,307422,2015-08-03,117.05,117.13,114.67,115.31,782962,ROK,115.9
148,307423,2015-08-04,115.65,116.41,114.73,114.96,750899,ROK,115.57
149,307424,2015-08-05,115.51,117.39,115.51,116.03,741382,ROK,116.45
150,307425,2015-08-06,116.28,117.34,115.19,116.42,921732,ROK,116.265
151,307426,2015-08-07,115.96,116.89,114.91,115.9,840172,ROK,115.9
152,307427,2015-08-10,116.78,118.99,116.42,118.94,1116074,ROK,117.705
153,307428,2015-08-11,117.58,117.88,116.28,116.74,904702,ROK,117.08
154,307429,2015-08-12,115.68,116.395,114.555,115.84,1242591,ROK,115.475
155,307430,2015-08-13,114.91,115.63,113.51,115.19,606038,ROK,114.57
156,307431,2015-08-14,115.09,116.49,114.79,116.17,512496,ROK,115.64
157,307432,2015-08-17,115.33,117.15,114.57,117.0,481503,ROK,115.86
158,307433,2015-08-18,116.37,116.7,115.35,115.68,628578,ROK,116.025
159,307434,2015-08-19,115.0,115.99,113.425,114.01,749726,ROK,114.7075
160,307435,2015-08-20,112.96,113.95,111.23,111.23,833188,ROK,112.59
161,307436,2015-08-21,111.0,111.73,108.85,108.94,1020006,ROK,110.28999999999999
162,307437,2015-08-24,105.9,108.85,101.46,105.17,1733118,ROK,105.155
163,307438,2015-08-25,107.91,107.91,103.52,103.57,1063783,ROK,105.715
164,307439,2015-08-26,106.26,107.3,104.63,107.1,977450,ROK,105.965
165,307440,2015-08-27,108.16,111.44,107.94,111.22,1292309,ROK,109.69
166,307441,2015-08-28,110.66,112.18,109.14,111.67,764713,ROK,110.66
167,307442,2015-08-31,111.34,112.42,110.69,111.83,1074247,ROK,111.555
168,307443,2015-09-01,109.0,109.83,107.01,107.55,1429624,ROK,108.42
169,307444,2015-09-02,108.68,109.21,107.24,108.35,1679777,ROK,108.225
170,307445,2015-09-03,108.54,109.57,107.63,107.99,1089993,ROK,108.6
171,307446,2015-09-04,106.72,107.28,105.84,106.26,723551,ROK,106.56
172,307447,2015-09-08,107.75,109.64,107.45,109.62,874201,ROK,108.545
173,307448,2015-09-09,109.78,110.48,106.01,106.19,945410,ROK,108.245
174,307449,2015-09-10,106.0,106.46,104.5,105.15,1074887,ROK,105.47999999999999
175,307450,2015-09-11,105.04,106.75,104.48,105.9,1114512,ROK,105.61500000000001
176,307451,2015-09-14,105.74,106.28,104.69,104.94,668764,ROK,105.485
177,307452,2015-09-15,105.76,106.6,104.76,106.55,1037188,ROK,105.68
178,307453,2015-09-16,106.47,107.84,106.27,107.58,1299643,ROK,107.055
179,307454,2015-09-17,107.35,107.61,105.51,105.84,1509658,ROK,106.56
180,307455,2015-09-18,104.58,104.77,103.3,103.79,1685011,ROK,104.035
181,307456,2015-09-21,104.03,104.975,103.68,104.01,854633,ROK,104.3275
182,307457,2015-09-22,102.45,103.54,102.07,103.1,1694935,ROK,102.805
183,307458,2015-09-23,103.6,103.64,100.76,101.4,1367537,ROK,102.2
184,307459,2015-09-24,100.09,101.64,99.0,101.05,1212175,ROK,100.32
185,307460,2015-09-25,101.55,101.99,99.61,100.28,1046873,ROK,100.8
186,307461,2015-09-28,99.33,102.0,99.193,99.9,1554068,ROK,100.59649999999999
187,307462,2015-09-29,100.23,101.2296,99.925,100.36,1279074,ROK,100.57730000000001
188,307463,2015-09-30,100.84,101.95,99.84,101.47,1551116,ROK,100.89500000000001
189,307464,2015-10-01,101.42,102.0,99.77,100.36,1119346,ROK,100.88499999999999
190,307465,2015-10-02,99.24,102.42,98.47,102.41,1042504,ROK,100.445
191,307466,2015-10-05,102.18,104.07,100.3,104.03,1107537,ROK,102.185
192,307467,2015-10-06,103.89,104.91,103.73,104.33,1140710,ROK,104.32
193,307468,2015-10-07,104.0,105.14,101.58,103.12,1896024,ROK,103.36
194,307469,2015-10-08,102.8,105.834,102.52,105.42,1504649,ROK,104.17699999999999
195,307470,2015-10-09,105.8,106.62,104.87,105.58,937644,ROK,105.745
196,307471,2015-10-12,105.76,106.05,104.72,105.52,694212,ROK,105.38499999999999
197,307472,2015-10-13,104.45,106.9,104.4,104.54,910286,ROK,105.65
198,307473,2015-10-14,104.45,104.92,103.66,103.85,843967,ROK,104.28999999999999
199,307474,2015-10-15,104.07,105.32,102.96,105.24,812156,ROK,104.13999999999999
200,307475,2015-10-16,105.36,105.36,102.61,104.28,1338175,ROK,103.985
201,307476,2015-10-19,103.52,104.29,102.62,103.16,947606,ROK,103.45500000000001
202,307477,2015-10-20,102.96,104.53299999999999,102.17,104.35,1048754,ROK,103.35149999999999
